"S.No","CourseTitle","Level","Time(Hours)","Category","NumberOfLessons","Description","Curriculum","Price"
"1","GenAI Applied to Quantitative Finance: For Control Implementation","Intermediate","1","Generative AI ","5","This course explores the application of Generative AI in quantitative finance, focusing on building sustainable trading algorithms through keyword extraction, sentiment analysis, and time-series forecasting. Learn to predict commodity prices, such as gold, by integrating data from financial news sources, leveraging sentiment analysis, and optimizing models for robust trading signals.","Introduction,Overview,Problem Definition: Commodity Price Prediction,Architecture,Hands-On","Free"
"2","Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy","Beginner","1","Generative AI ","6","This course provides a concise guide to optimizing Large Language Models (LLMs) by navigating tradeoffs in speed, cost, scale, and accuracy. Learn practical techniques like LoRA, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. You'll explore various deployment strategies and understand how to evaluate LLMs using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable AI solutions.","Introduction, Resources, Technique to Increase Accuracy, Training Speed and Cost Optimization, Inference Speed and Cost Optimization,Scale","Free"
"3","Creating Problem-Solving Agents using GenAI for Action Composition","Beginner","1","Generative AI ","6","This introductory course provides a concise overview of Agentic AI systems, covering their evolution, current state, and practical applications. You will explore key topics including the history of Agentic AI systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action.","Introduction, Overview- Count the Number of Agents, A brief history of Agentic Systems, Agents Today, Multi-Agent Systems Today, Practical Solutions","Free"
"4","Improving Real World RAG Systems: Key Challenges & Practical Solutions","Beginner","1","Generative AI ","12","This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications.","Introduction to RAG Systems, Resources, RAG System Challenges Practical Solutions, Hands-on: Solution for Missing Content in RAG, Other Key Challenges, Practical Solutions, Hands-on: Solution for Missed Top Ranked, Not in Context, Not Extracted _ Incorrect Specificity, Hands-on- Solution for Missed, Wrong Format Problem Solution, Hands-on: Solution for Wrong Format, Incomplete Problem Solution, HyDE, Other Practical Solutions from recent Research Papers","Free"
"5","Framework to Choose the Right LLM for your Business","","1","Generative AI ","6","This course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively.","Introduction, It’s an LLM World!, Understand Your Business, Framework to Choose the Right LLM, Case Studies, Conclusion","Free"
"6","Building Smarter LLMs with Mamba and State Space Model","Advanced","2","Generative AI ","14","Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures.","Course Overview, An Alternative to Transformers, Understanding State Space Models, Mamba - A Selective State Space Model","Free"
"7","Generative AI - A Way of Life - Free Course","Beginner","6","Generative AI ","31","This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field.
","Introduction to Generative AI, Text Generation Using Generative AI, Image Generation Using Generative AI","Free"
"8","Building LLM Applications using Prompt Engineering - Free Course","Beginner","2.1","Generative AI ","17","This free course offers a comprehensive guide on building LLM applications, mastering prompt engineering, implementing best practices, and developing chatbots using enterprise data using advanced techniques like few-shot or one-shot prompting","How to build different LLM Applications?, Getting Started with Prompt Engineering, Understanding Different Prompt Engineering Techniques","Free"
"9","Building Your First Computer Vision Model - Free Course","Beginner","0.5","Deep Learning ","7","This course will help you gain a deep understanding of Computer Vision and build advanced CV models using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming a Computer Vision expert. Master the techniques to build convolutional neural networks, and classify images.
","Pixel Perfect - Decoding Images, Understanding a CNN - Convolutional Layer, Hands on - Image Processing Techniques, Understanding a CNN - Striding and Pooling, Understanding a CNN - Pooling Layer, Understanding AlexNet and Building a CNN Model, Quiz","Free"
"10","Bagging and Boosting ML Algorithms - Free Course","Intermediate","1","Machine Learning","16","This course will provide you with a hands-on understanding of Bagging and Boosting techniques in machine learning. By the end of the course, you will be proficient in implementing and tuning these ensemble methods to enhance model performance. You'll learn to apply algorithms like Random Forest, AdaBoost, and Gradient Boosting to a real-world dataset, equipping you with the skills to improve predictive accuracy and robustness in your projects.","Bagging, Boosting","Free"
